Johanneksen evankeliumi suomeksi ja vosaksi.	Johanof rossa mu fin a vosa.
18 Ei ole kenkään koskaan Jumalaa nähnyt, ainokainen Poika, joka on Isän helmassa, hän ilmoitti meille.	18 Ejkojo oo ejna vokaaen Hajo, erisö Son, kojo oo in Maof vatlydim, hä dafaaen tu ajsi.
19 Ja tämä on Johanneksen todistus, kun juutalaiset lähettivät Jerusalemista papit ja Leviläiset kysymään häneltä: Kuka olet?	19 A tä oo Johanof darilob, na jutjosi pagaaen ut Jerusalem ussajosi a levtjosi koo ut hä: Kojo ja oo?
20 Ja hän todisti ja ei kieltänyt ja hän todisti, sanoen: En minä ole Kristus.	20 A hä dariilen a ej eejen a hä dariilen: Aj ej oo Krist.
21 Ja he kysyivät häneltä: Kuka siis? Oletko Elias? Hän sanoi: En. Oletko profeetta? Hän vastasi: En.	21 A häsi kooen ut hä: Kojo syklirli? Ooko ja Elias? Hä saaen: Ej, aj ej oo. Ooko ja usennesaajo? Hä ooken: Ej, aj ej oo.
22 Niin he sanoivat hänelle: Kuka olet, että me antaisimme niille vastauksen, jotka meidät lähettivät: Mitä sanot itsestäsi?	22 Itli häsi saaen tu hä: Kojo ja oo, syt ajsi faaif ookte tu häsi, kojosi pagaaen ajsi: Ko ja saa öb ja aut?
23 Hän sanoi: Minä olen huutava ääni korvessa, valmistakaa Herran tietä, niin kuin Jesaja profeetta sanoi.	23 Hä saaen: Aj oo sääva hö in vildmol, enfortee jasi Romäof tul, itli li Jesaja usennesaajo saaen.
24 Ja jotka lähetetyt olivat, olivat farisealaisista.	24 A kojosi pagaaen ooen, ooen ob pösousjosi.
25 Ja he kysyivät häneltä ja sanoivat hänelle: Miksi siis sinä kastat, jos et ole Kristus, etkä Elias, etkä profeetta?	25 A häsi kooen ut hä a saaen tu hä: Kosy syklirli ja usvaam, if ja ej oo Krist, a ja ej oo Elias, a ja ej oo usennesaajo.
26 Johannes vastasi heille ja sanoi: Minä kastan vedellä, mutta teidän keskellänne seisoo, jota ette tunne.	26 Johan ooken tu häsi a saaen: Aj usvaam vy vam, mut midin jasi tiis, kojo jasi ej kavodaa.
27 Hän on se, joka minun jälkeeni tulee, joka minun edelläni on ollut, jonka kengän nauhoja en minä ole kelvollinen päästämään.	27 Hä oo it, kojo ne aj uut, kojo oo ooen en aj, kojo-of tuveto nauhsi aj ej oo forhava fatuu.
28 Nämä tapahtuivat Betabarassa, sillä puolella Jordania, kussa Johannes kasti.	28 Täsi hääpen in Betabar, la it sid Jordan, koin Johan usvaamen.
29 Toisena päivänä näki Johannes Jeesuksen tykönsä tulevan ja sanoi: Katso, Jumalan Karitsa, joka pois ottaa maailman synnin!	29 Na duva tan vokaaen Johan Jesus uut tu hä a saaen: Kaa ja, Hajo-of Ipbääpe, kojo aap yr kölof aho!
30 Tämä on se, josta minä sanoin: Minun jälkeeni tulee mies, joka minun edelläni on ollut, sillä hän oli ennen kuin minä.	30 Tä oo it, öb kojo aj saaen: Ne aj uut mä, kojo en aj oo ooen, syfor hä ooen en na aj.
31 Ja en minä häntä tuntenut, mutta että hän ilmestyisi Israelissa, sen tähden tulin minä vedellä kastamaan.	31 A aj ej kavodaaen hä, mut syt hä sadkauutif in Isrlo, itsy uuten aj vy vam usvaam.
32 Ja Johannes todisti sanoen: Minä näin Hengen taivaasta tulevan alas niin kuin kyyhkyisen ja seisahtavan häneen.	32 A Johan dariilen saali: Aj vokaaen Ho uut ut yllo lytu itli li dovsif a autstoop le hä.
33 Ja en minä häntä tuntenut, mutta joka minun lähetti vedellä kastamaan, se sanoi minulle: Jonka päälle sinä näet Hengen tulevan alas ja seisahtavan häneen, hän on se, joka kastaa Pyhällä Hengellä.	33 A aj ej kavodaaen hä, mut kojo pagaaen aj vy vam usvaam, it saaen tu aj: Le kojo ja vokaa Ho uut lytu a autsoop le hä, hä oo it, kojo usvaam vy Pyhva Ho.
34 Ja minä näin sen ja todistin hänen olevan Jumalan Pojan.	34 A aj vokaaen it a dariilen hä oo Hajo-of Son.
35 Toisena päivänä seisoi Johannes taas ja kaksi hänen opetuslapsistansa,	35 Na duva tan tiisen Johan anen a du ob häof usdavjosi,
36 ja kun hän näki Jeesuksen käyvän, sanoi hän: Katso, Jumalan Karitsa!	36 a na hä vokaaen Jesus tuu, saaen hä: Kaa ja, Hajo-of Ipbääpe!
37 Ja ne kaksi opetuslasta kuulivat hänen puhuvan ja seurasivat Jeesusta.	37 A itsi du usdavjosi vohööen hä sasaa a dekaaen Jesus.
38 Mutta Jeesus kääntyi ja näki ne seuraavan ja sanoi heille: Mitä te etsitte? Niin he sanoivat hänelle: Rabbi (se on opettaja) missä asut?	38 Mut Jesus auttöönen a vokaaen itsi dekaa a saaen tu häsi: Ko jasi seek? Itli häsi saaen tu hä: Ropadaavjo (it oo padaavjo) koin ja eloo?
39 Hän sanoi heille: Tulkaa ja katsokaa! Ja he tulivat ja näkivät, missä hän asui ja olivat sen päivän hänen tykönänsä ja se oli lähes kymmenes hetki.	39 Hä saaen tu häsi: Uut jasi a kaa jasi! A häsi uuten a vokaaen, koin hä elooen a ooen it tan tut hä a it ooen rafli basva ipno.
40 Andreas, Simon Pietarin veli, oli yksi niistä kahdesta, jotka sen Johannekselta kuulleet olivat ja häntä seurasivat.	40 Andreas, Simon Pietarof bajson, ooen is ob itsi du, kojosi it ut Johan vohööen ooen a hä dekaaen.
41 Tämä löysi ensin veljensä Simonin ja sanoi hänelle: Me löysimme Messiaan, se on voideltu.	41 Tä keesen isvana häof bajson Simon a saaen tu hä: Ajsi seeken Mesias, it oo oilpaaen.
42 Ja hän toi hänen Jeesuksen tykö. Mutta kun Jeesus katsoi häneen, sanoi hän: Sinä olet Simon Joonan poika ja sinä pitää kutsuttaman Keefas, se on kallio.	42 A hä aagen hä tu Jesus. Mut na Jesus kaaen tu hä, saaen hä: Ja oo Simon Jonof son a ja piit tukoo Kefas, it oo kaum.
43 Toisena päivänä tahtoi Jeesus mennä Galileaan ja löysi Filippuksen ja sanoi hänelle: Seuraa minua!	43 Na duva tan obraaen Jesus tuu Galilea a keesen Filipus a saaen tu hä: Dekaa ja aj!
44 Mutta Filippus oli Betsaidasta, Andreaksen ja Pietarin kaupungista.	44 Mut Filipus ooen ut Betsaid, taunlo of Andreas a Pietar.
45 Filippus löysi Natanaelin ja sanoi hänelle: Me olemme löytäneet sen, josta Mooses kirjoitti laissa ja profeetat, Jeesuksen, Josefin pojan Natsaretista.	45 Filipus keesen Natanael a saaen tu hä: Ajsi oo keesen it, öb kojo Moses kiiren in pöso a usennesaajosi, Jesus, Josefof son ut Natsaret.
46 Ja Natanael sanoi hänelle: Tulleeko Natsaretista jotain hyvää? Filippus sanoi hänelle: Tule ja katso.	46 A Natanael saaen tu hä: Meejko uut ut Natsaret ö hava? Filipus saaen tu hä: Uut ja a kaa ja.
47 Jeesus näki Natanaelin tykönsä tulevan ja sanoi hänestä: Katso, totisesti oikea Israelilainen, jossa ei petosta ole.	47 Jesus vokaaen Natanael uutva tu hä a saaen öb hä: Kaa ja, darilli ratva isrjo, in kojo ej oo hatuah.
48 Natanael sanoi hänelle: Mistä minut tunnet? Jeesus vastasi ja sanoi hänelle: Ennen kun Filippus kutsui sinua viikunapuun alla ollessasi, näin minä sinun.	48 Natanael saaen tu hä: Koöb ja kavodaa aj? Jesus ooken a saaen tu hä: En na Filipus tukooen ja al figpu ooen, aj vokaaen ja.
49 Vastasi Natanael ja sanoi hänelle: Rabbi, sinä olet Jumalan Poika, sinä olet Israelin kuningas.	49 Ooken Natanael a saaen tu hä: Ropadaavjo, ja oo Hajo-of son, ja oo Isrlo-of roylmä.
50 Jeesus vastasi ja sanoi hänelle: Sinä uskot, että minä sanoin sinulle: Minä näin sinut fikunapuun alla. Sinä saat vielä suurempia nähdä.	50 Jesus ooken a saaen tu hä: Ja uus, syt aj saaen tu ja: Aj vokaaen ja al figpu. Ja aaf pirnen pipir ösi vokaa.
51 Ja sanoi hänelle: Totisesti, totisesti sanon minä teille, tästedes pitää teidän näkemän taivaan avoinna ja Jumalan enkelit astuvan ylös ja tulevan alas Ihmisen Pojan luo.	51 A saaen tu hä: Darilli, darilli aj saa tu jasi, täne piit jasi vokaa halo oup a Hajo-of enkjosi vetuu yltu a uut lytu tu Mämof Son.
Johannes 2	Johan 2
1 Ja kolmantena päivänä olivat häät Galilean Kaanassa ja Jeesuksen äiti oli siellä;	1 A na treva tan ooen tebajvihäp in Galilo Kan a Jesusof am ooen itla;
2 Niin Jeesus ja hänen opetuslapsensa kutsuttiin myös häihin.	2 Itli Jesus a häof usdavjosi tukooenta ali intu tebajvihäp.
3 Ja kun viini puuttui, sanoi Jeesuksen äiti hänelle: Ei heillä ole viiniä.	3 A na vainvem ejofriien, saaen Jesusof am tu hä: Häsi ej oof vainvem.
4 Jeesus sanoi hänelle: Vaimo! Mitä minun on sinun kanssa? Ei minun aikani ole vielä tullut.	4 Jesus saaen tu hä: Viäm! Ko aj oo vi ja? Ajof no ej oo pirnen uuten.
5 Hänen äitinsä sanoi palvelijoille: Mitä hän teille sanoo, se tehkää.	5 Häof am saaen tu seerjosi: Ko hä tu jasi saa, tee jasi it.
6 Niin siellä oli kuusi kivistä vesiastiaa pantuna juutalaisten puhdistamisen tavan mukaan ja kukin veti kaksi tai kolme mittaa.	6. Itli itla ooen sik kamsiva vamves paaen li jutva kliinte lio a obki poaagen du taj tre piprisi.
7 Jeesus sanoi heille: Täyttäkää vesiastiat vedellä. Ja he täyttivät ne ylen täyteen.	7. Jesus saaen tu häsi: Fuul jasi vamvessi vy vam. A häsi fuulen itsi ylpiri fultu.
8 Ja hän sanoi heille: Pankaa nyt sisälle ja viekää edeskäyvälle. Ja he veivät.	8 A hä saen tu häsi: Paa jasi nen inle a gaa jasi tu edtuujo. A häsi gaaen.
9 Mutta kun edeskäypä maisti sitä vettä, joka viiniksi tullut oli, eikä tietänyt, kusta se tuli, mutta palvelijat tiesivät, jotka veden ammensivat, kutsui edeskäypä yljän	9 Mut na edtuujo emfiien it vam, ko ooen muuen vainvem, a ej daaen kout it uuten, mut seerjosi daaen, kojosi vam vomaapen, tukooen edtuujo enbajvimä
10 ja sanoi hänelle: Jokainen antaa ensin hyvää viiniä ja kun juovutaan, niin sitten huonompaa: Sinä kätkit hyvän viinin tähän asti.	10 a saaen tu hä: Ki faa isvana hava vanvem a na alkräjmuuta, itli itne ahvopir: Ja hiiden hava vainvem ättu tä.
11 Tämä on ensimmäinen tunnustähti, jonka Jeesus teki Galilean Kaanassa ja ilmoitti kunniansa. Ja hänen opetuslapsensa uskoivat häneen.	11 Tä oo isva enmark, ko Jesus tee-en in Galilo Kan a dafaaen häof hon. A häof usdavjosi uusen intu hä.
12 Sitten meni hän alas Kapernaumiin ja hänen äitinsä, hänen veljensä ja opetuslapsensa, eikä siellä kauan viipyneet.	12 Itne tuuen hä lytu Kapernaum a häof am, bajsonsi a usdavjosi, a ej itla luna apnooen.
13 Ja Juutalaisten pääsiäinen oli läsnä ja Jeesus meni ylös Jerusalemiin,	13 A jutjosiof Afturono ooen tuvi a Jesus tuuen yltu Jerusalem,
14 ja löysi temppelissä istuvan ne, jotka karjaa, lampaita ja kyyhkyjä myyskentelivät ja rahanvaihtajat.	14 a keesen in roustol siitva itsi, kojosi sirope, bääpesi a dovsifsi sifääen a rovermupaajosi.
15 Ja hän teki ruoskan köysistä ja ajoi ulos ne kaikki temppelistä, lampaat, karjan ja heitti pois vaihtajien rahat ja maahan kukisti pöydät.	15 A hä tee-en vhipvo ob roupsi a tekatuuen nitu itsi ki ut roustol, bääpesi, sirope a heiien yr ermupaajosi rovsi a tu mol pölyyen laossi.
16 Ja sanoi niille, jotka kyyhkyjä myivät: Viekää nämä täältä pois ja älkää tehkö minun Isäni huonetta kauppahuoneeksi.	16 A saaen tu itsi, kojosi dovsifsi fääen: Gaa jasi täsi täel yr a ej jasi tee ajof Maof tolik mu fäftolik.
17 Mutta hänen opetuslapsensa muistivat kirjoitetuksi: Sinun huoneesi kiivaus on minun syönyt.	17 Mut häof usdavjosi sööen mu kiiren: Jaof tolik ahbönmivao oo aj eemen.
18 Niin vastasivat juutalaiset ja sanoivat hänelle: Mitä merkkiä sinä meille osoitat, että näitä teet?	18 Itli ooken jutjosi a saaen tu hä: Ko enmark ja tu ajsi tukaa, syt ja tee täsi?
19 Jeesus vastasi ja sanoi heille: Hajottakaa maahan tämä temppeli ja minä tahdon sen kolmantena päivänä rakentaa ylös.	19 Jesus ooken a saaen: Silopaa jasi tu mol tä roustol a aj obraa it na treva tan tool yltu.
20 Niin juutalaiset sanoivat: Tätä temppeliä on rakennettu 46 vuotta ja sinä rakennat sen kolmena päivänä?	20 Itli jutjosi saaen: Tä roustol oo toolen 46 (kvabassik) jänsi a ja tool it in tre tansi?
21 Mutta hän sanoi ruumiinsa temppelistä.	21 Mut hä saaen it öb häof bodev roustol.
22 Kun hän siis oli kuolleista noussut, muistivat hänen opetuslapsensa hänen sen heille sanoneeksi ja uskoivat Raamatun ja puheen, minkä Jeesus oli puhunut.	22 Na hä syklirli ooen yylen ut eön, häof usdavjosi sööen, syt hä ooen saaen it tu häsi a uusen uskirto a sasa, ko Jesus ooen sasaaen.
23 Mutta kun hän pääsiäisen juhlapäivänä oli Jerusalemissa, uskoivat monta hänen nimensä päälle, kun he näkivät ne tunnustähdet, mitkä hän teki.	23 Mut na hä na Afturonotan ooen in Jerusalem, si uusen intu hä ersa, na häsi vokaaen itsi enmarksi, kosi hä tee-en.
24 Mutta ei Jeesus uskonut itseänsä heille, sillä hän tunsi heidät kaikki,	24 Mut Jesus ej uusen aut tu häsi, syfor hä kavodaaen häsi ki,
25 ja ei tarvinnut, että joku olisi ihmisestä todistanut; sillä hän tiesi, mitä ihmisessä oli.	25 a ej niiden, syt öjo ooif dariilen öb mäm; syfor hä daaen, ko in mäm ooen.
Johannes 3	Johan 3
1 Niin oli yksi mies farisealaisista, Nikodemus nimeltä, juutalaisten ylimmäinen.	1 Itli ooen is mä ob pösousjosi, ersaaen Nikodemus, jutjosiof yllast.
2 Hän tuli yöllä Jeesuksen tykö ja sanoi hänelle: Mestari, me tiedämme, että sinä olet Jumalasta opettajaksi tullut; sillä ei taida kenkään niitä tunnustähtiä tehdä, joita sinä teet, jollei Jumala ole hänen kanssansa.	2 Hä uuten natna tu Jesus a saaen tu hä: Ylvojo, aj daa, syt ja oo ut Hajo muuen padaavjo; syfor ejjo livotee tee itsi enmarksi, kosi ja tee, ifej Hajo oo vi hä.
3 Jeesus vastasi ja sanoi hänelle: Totisesti, totisesti sanon minä sinulle: Ellei joku uudestisynny, ei hän taida Jumalan valtakuntaa nähdä.	3 Jesus ooken a saaen tu hä: Darilli, darilli aj saa tu ja: Ifej öjo novlinöee, hä ej livotee vokaa Hajo-of pöhyl.
4 Nikodemus sanoi hänelle: Kuinka taitaa ihminen vanhana syntyä? Taitaako hän äitinsä kohtuun jälleen mennä ja syntyä?	4 Nikodemus saaen tu hä: Koli livotee mäm li unva nöee? Livoteeko hä tuu intu häof amof nöevlo dunen a nöee?
5 Jeesus vastasi: Totisesti, totisesti sanon minä sinulle: Ellei joku synny vedestä ja Hengestä ei hän taida Jumalan valtakuntaan sisälle tulla.	5 Jesus ooken: Darilli, darilli aj saa tu ja: Ifej öjo nöee ob vam a Ho hä ej livotee uut intu Hajo-of pöhyl.
6 Mitä lihasta syntynyt on, se on liha ja mitä Hengestä syntynyt on, se on henki.	6 Ko ob mit oo nöee-en, it oo mit a ko ob Ho oo nöee-en, it oo Ho.
7 Älä ihmettele, että minä sanoin sinulle: Teidän pitää uudestisyntymän.	7 Ej ja voejhäpkaa, syt aj saa tu ja: Jasi piit novlinöee.
8 Tuuli puhaltaa, kussa hän tahtoo ja sinä kuulet hänen huminansa ja et tiedä, kusta hän tulee taikka kuhunka hän menee: Näin on jokainen, joka Hengestä syntynyt on.	8 Hou tehouu, kolo hä obraa a ja vohöö häof homhö a ja ej daa, kout it uut taj kotu it tuu: Täli oo kijosi, kojo ob Ho oo nöee-en.
9 Vastasi Nikodemus ja sanoi hänelle: Kuinka ne taitavat tapahtua?	9 Nikodemus ooken a saaen tu hä: Koli itsi livotee hääp?
10 Jeesus vastasi ja sanoi hänelle: Sinä olet mestari Israelissa ja et näitä tiedä!	10 Jesus ooken a saaen tu hä: Ja oo ylvoja in Isrlo a ja ej täsi daa!
11 Totisesti, totisesti sanon minä sinulle: Me puhumme, mitä me tiedämme ja todistamme, mitä me näemme ja ette ota vastaan meidän todistustamme.	11 Darilli, darilli aj saa tu ja: Ajsi sasaa, ko ajsi daa a dariil, ko ajsi vokaa a ja ej ögaap ajsiof darilob.
12 Jos minä maallisia teille sanoin ja ette usko, kuinka te uskoisitte, jos minä taivaallisia teille sanoisin?	12 If aj saa ohva tu jasi a jasi ej uus, koli jasi uusif, if aj halova tu jasi saaif?
13 Ei astu kenkään ylös taivaaseen, vaan joka taivaasta astui alas, Ihmisen Poika, joka on taivaassa.	13 Ejjo vetuu yltu halo, mut kojo ut halo vetuuen lytu, Mämof Son, kojo oo in halo.
14 Ja niin kuin Mooses ylensi käärmeen korvessa, niin myös Ihmisen Poika pitää ylennettämän.	14 A itli Moses ylpirpaaen ierpe in vildmol, itli ali Mämof Son piitne ylpirpaa.
15 Että jokainen, joka uskoo häneen, ei pidä hukkuman, mutta iankaikkisen elämän saaman.	15 Syt kijo, kojo uus intu hä, ej piit kaseöön, mut aaf kikinova eo.
16 Sillä niin on Jumala maailmaa rakastanut, että hän antoi ainoan Poikansa, että jokainen, joka uskoo häneen, ei pidä hukkuman, mutta iankaikkisen elämän saaman.	16 Syfor itli Hajo oo raaen köl, syt hä faaen eris Son, syt kijo, kojo uus intu hä, ej piit kaseöön, mut aaf kikinova eo.
17 Sillä ei Jumala lähettänyt Poikaansa maailmaan, tuomitsemaan maailmaa, mutta että maailma pitää hänen kauttansa vapahdettaman.	17 Syfor Hajo ej pagaaen häof Son intu köl, pöcuu köl, mut syt köl piit intuni hä friuur.
18 Joka häneen uskoo, ei häntä tuomita; mutta joka ei usko, se on jo tuomittu; sillä ei hän uskonut Jumalan ainoan Pojan nimen päälle.	18 Kojo intu hä uus, ej pöcuuta hä; mut kojo ej uus, it oo ripnen pöcuuen; syfor hä ej uusen le Hajo-of eris Sonof ersa.
19 Mutta tämä on tuomio, että valkeus tuli maailmaan ja ihmiset rakastivat enemmin pimeyttä kuin valkeutta; sillä heidän työnsä olivat pahat.	19 Mut tä oo pöcuute, syt vitvao uuten intu köl a mämsi raaen enpir takvao il vitvao; syfor häsiof tösi ooen ahva.
20 Sillä jokainen, joka pahaa tekee, se vihaa valkeutta eikä tule valkeuteen, ettei hänen töitänsä pitäisi laitettaman.	20 Syfor kijosi, kojo tee ahva, it aar vitvao aj ej uut intu virvao, syt ej piitif lopaa häof tösi.
21 Mutta joka totuuden tekee, se tulee valkeuteen, että hänen työnsä nähtäisiin; sillä ne ovat Jumalassa tehdyt.	21 Mut kojo tee darilva, it uut intu vitvao, syt häof tösi vokaaifta; syfor itsi oo tee-en in Hajo.
22 Sitten tuli Jeesus ja hänen opetuslapsensa Juudean maahan ja asui siellä heidän kanssansa ja kastoi.	22 Itne uuten Jesus a häof usdavjosi tu Judea hyl a elooen itla vi häsi a usvaamen.
23 Mutta Johannes kasti myös Enonissa lähellä Salimia, sillä siellä oli runsaasti vettä; ja he tulivat ja kastettiin.	23 Mut Johan usvaamen ali in Enon raf Salim, syfor itla ooen siri vam; a häsi uuten a usvaamenta.
24 Sillä ei Johannes ollut vielä silloin vankeuteen heitetty.	24 Syfor Johan ej ooen pirnen heiien intu irflosta.
25 Niin tuli kysymys Johanneksen opetuslasten ja juutalaisten välillä puhdistuksesta.	25 Itli uuten koote välla Johanof usdavjosi a jutjosi öb kliinte.
26 Ja he tulivat Johanneksen tykö ja sanoivat hänelle: Opettaja, se joka sinun kanssa oli toisella puolella Jordania, josta sinä todistit, katso, hän kastaa ja jokainen menee hänen tykönsä.	26 A häsi uuten tu Johan a saaen tu hä: Padaavjo, it kojo vi ja ooen la duva sid Jordan, öb kojo ja darilsaaen, kaa ja, hä usvaam a kijo tuu tu hä.
27 Johannes vastasi ja sanoi: Ei ihminen taida mitään ottaa, ellei hänelle anneta taivaasta.	27 Johan ooken a saaen: Mäm livotee ejö aap, ifej tu hä faata ut halo.
28 Te olette itse minun todistajani, että minä olen sanonut: En minä ole Kristus, vaan minä olen hänen edellänsä lähetetty.	28 Jasi oo aut ajof dariiljosi, syt aj oo saaen: Aj ej oo Krist, mut aj oo edla hä pagaaen.
29 Jolla on morsian, se on ylkä, mutta yljän ystävä, joka seisoo ja kuuntelee häntä, se iloittaa itseänsä yljän äänestä sangen suuresti, sen tähden on tämä minun iloni täytetty.	29 Kojo oof enbajviäm, it oo enbajvimä, mut enbajvimäof havijo, kojo tiis a höör tu hä, it teroos aut ob enbajvimäof hö errili pili, forsy it oo tä ajof ros fuulen.
30 Hänen tulee kasvaa, mutta minun pitää vähenemän.	30 Hä piit eöpiir, mut ajof piit autriip.
31 Joka ylhäältä tulee, se on kaikkein päällä ja joka maasta on, se on maasta ja puhuu maasta. Joka taivaasta tulee, hän on kaikkein ylin.	31 Kojo ylel uut, it oo la ki a kojo ut mol oo, it oo ut mol a sasaa öb mol. Kojo ut halo uut, hä oo kiob yllast.
32 Ja mitä hän nähnyt ja kuullut on, sen hän todistaa ja ei kenkään ota vastaan hänen todistustansa.	32 A ko hä vokaaen a vohööen oo, it hä dariil a ej kojo ögaap häof darilob.
33 Joka hänen todistuksensa otti vastaan, se päätti Jumalan olevan totisen.	33 Kojo häof darilob ögaapen, it pääten Hajo oova darilva.
34 Sillä jonka Jumala lähetti, se puhuu Jumalan sanoja, sillä ei Jumala anna Henkeä mitalla.	34 Syfor kojo Hajo pagaaen, it sasaa Hajo-of sasi, syfor ej Hajo faa Ho vy pipri.
35 Isä rakastaa Poikaa ja antoi kaikki hänen käteensä.	35 Ma raa Son a faaen ki intu häof pave.
36 Joka uskoo Poikaan, hänellä on iankaikkinen elämä, mutta joka ei usko Poikaan, ei hänen pidä elämää näkemän, mutta Jumalan viha pysyy hänen päällänsä.	36 Kojo uus intu Son, hä oof kikinova eo, mut kojo ej uus intu Son, ej hä piit eo vokaa, mut Hajo-of ar autpaoo la hä.
Johannes 4	Johan 4
1 Kun siis Herra ymmärsi farisealaisten kuulleeksi, että Jeesus teki enemmin opetuslapsia ja kasti kuin Johannes.	1 Na syklirli Romä dakavooen pösousjosi mu vohööen, syt Jesus tee-en enpir usdavjosi a usvaamen il Johan.
2 (Vaikka ei Jeesus itse kastanut, mutta hänen opetuslapsensa.)	2 (Tajli ej Jesus aut usvaamen, mut häof usdavjosi.)
3 Jätti hän Juudean ja meni jälleen Galileaan.	3 Tejääen hä Judea a tuuen dunen tu Galilea.
4 Mutta hänen piti Samarian kautta vaeltaman.	4 Mut hä piiten intuni Samaria tutuu.
5 Niin hän tuli Samarian kaupunkiin, joka kutsuttiin Sikar, lähelle sitä maakartanoa, jonka Jakob oli pojallensa Josefille antanut.	5 Itli hä uuten Samaria taunlo, ko tukooenta Sikar, rafli it pivillö, ko Jakob ooen tu häof son Josef faaen.
6 Niin siellä oli Jakobin lähde. Kun Jeesus matkasta oli väsynyt, istui hän lähteelle ja se oli liki kuudetta hetkeä.	6 Itli itla ooen Jakobof sors. Na Jesus ob rotuo ooen autporiipen, siiten hä le sors a it ooen rafli sikva ipno.
7 Niin tuli yksi Samarian vaimo vettä ammentamaan ja Jeesus sanoi hänelle: Anna minun juodakseni,	7 Itli uuten is Samaria viäm vomaap vam a Jesus saaen tu hä: Faa aj for veem,
8 sillä hänen opetuslapsensa olivat menneet kaupunkiin ruokaa ostamaan.	8 syfor häof usdavjosi ooen tuuen taunlo ääf em.
9 Sanoi Samarian vaimo hänelle: Kuinka sinä minulta juoda anot, joka olet juutalainen ja minä olen samarialainen? Sillä ei juutalaiset pidä yhtään kanssakäymistä samarialaisten kanssa.	9 Saaen Samarlo viäm tu hä: Koli ja ut aj veem teaaf, kojo oo jutjo a aj oo samarjo? Syfor ej jutjosi paoo ejri vioteete vi samarjosi.
